"","TGT.Close","HD.Close","JPM.Close","XOM.Close","CVX.Close","MGM.Close","TEVA.Close","HST.Close","WFC.Close","WWE.Close","WM.Close","S.Close","F.Close","JWN.Close","NUS.Close","KSS.Close","LUV.Close","HMC.Close","PCG.Close","NKE.Close","WMT.Close","TJX.Close","TM.Close","T.Close","JNJ.Close","C.Close","EPD.Close","VZ.Close","HRB.Close","AAP.Close","SIG.Close","M.Close"
"3122",79.639999,189.990005,108.220001,72.160004,116.769997,25.360001,9.7,18.58,45.48,72.510002,107.239998,6.8,9.71,32.419998,48.18,50.509998,49.560001,25.15,17.129999,78.870003,102.120003,49.73,119.550003,31.91,131.330002,63.709999,27.9,58.18,26.530001,155.779999,20.99,20.940001
"3123",80.389999,191.080002,107.059998,71.970001,115.379997,25.34,8.84,18.4,45.049999,72.5,108.410004,7.16,9.74,32.470001,48.200001,50.279999,49.389999,25.190001,17.780001,79.260002,102.190002,50.560001,119.75,31.860001,132.110001,63.610001,27.85,56.830002,26.66,159.389999,20.1,20.75
"3124",80.449997,189.850006,105.959999,70.769997,113.849998,24.82,8.65,18.110001,44.369999,72.739998,109.349998,6.87,9.52,31.299999,46.689999,49.32,47.599998,24.610001,17.1,77.139999,101.440002,50.290001,117.580002,30.58,131.149994,62.150002,27.889999,54.349998,26.25,155,18.860001,20.57
"3125",82.949997,189.570007,106.459999,71.879997,115.989998,23.870001,8.9,18.049999,44.52,72.760002,111.370003,6.78,9.61,32.099998,48.09,50.279999,47.790001,24.83,17.889999,77.959999,101.959999,49.889999,118.129997,31.09,131.440002,62.610001,27.950001,56.380001,26.6,153.169998,19.120001,21.16
"3126",85.849998,195.25,109.739998,73.589996,117.300003,25.639999,9.53,18.1,45.68,73.099998,111.449997,6.98,9.92,32.91,49.25,50.389999,48.950001,25.48,18.74,81.620003,102.559998,50.700001,119.540001,31.48,133.729996,65.879997,28.26,56.220001,27.1,154.610001,20.540001,21.620001
"3127",85.489998,196.690002,110.129997,72.980003,117.650002,25.959999,9.53,18.209999,45.860001,73.68,113.440002,7.07,9.78,31.959999,48.880001,48.900002,50.220001,25.629999,20.75,82.720001,104.419998,51.16,120.220001,31.68,134.380005,65.779999,28.1,57.029999,27.549999,154.610001,19.42,21.059999
"3128",85.699997,197.169998,110.370003,74.309998,120.68,26.49,9.41,18.129999,45.919998,73.480003,113.57,6.98,9.75,31.049999,48.650002,47.970001,49.98,25.450001,20.969999,82.449997,105.110001,50.900002,121.300003,32.099998,136.679993,66.470001,28.219999,57.540001,27.200001,154.899994,19.18,20.48
"3129",86.849998,197.300003,109.160004,74.580002,121.480003,26.280001,9.26,18.34,45.630001,73.279999,114.360001,7.1,9.76,31.67,49.060001,48.18,50.369999,25.58,20.459999,83.410004,106.059998,51.919998,122.389999,32.490002,138.550003,65.690002,28.18,57.240002,27.209999,155.350006,19.74,20.43
"3130",87.550003,198.050003,110.339996,74.910004,122.290001,27.42,9.29,18.48,46.27,71.510002,113.82,6.99,9.82,32.540001,49.330002,48.799999,50.299999,25.709999,19.77,82.580002,107.519997,51.630001,123.489998,31.93,139.020004,67.120003,28.51,56.150002,26.940001,153.520004,19.1,21.67
"3131",87.849998,198.009995,110.68,74.839996,121.169998,27.969999,9.08,18.58,46.259998,72.940002,113.139999,6.58,9.92,32.830002,50.549999,47.950001,50.580002,25.959999,19.1,83.260002,107.940002,52.060001,124.989998,32.110001,139.779999,67.879997,29.02,56.830002,27.780001,152.169998,19.809999,21.92
"3132",88.260002,198.940002,109.269997,74.029999,120.190002,27.700001,8.71,18.43,44.91,72.980003,114.160004,6.63,9.85,32.139999,50.810001,47.970001,50.810001,25.639999,18.24,82.629997,108.82,52.130001,125.68,32.18,141.679993,66.809998,28.959999,57.360001,28.07,150.539993,18.690001,21.450001
"3133",88.300003,202.350006,109.540001,74.68,120.910004,27.719999,8.61,18.540001,45.290001,75.550003,113.650002,6.81,10.06,32.66,51.240002,48.73,52.380001,25.74,18.290001,83.610001,108.650002,52.82,124.790001,32.290001,140.710007,67.080002,29.219999,57.619999,28.43,150.610001,19.120001,21.77
"3134",87.790001,205.770004,109.82,74.349998,120.809998,27.66,8.24,18.309999,45.59,74.540001,114.580002,7.01,9.98,32.610001,50.889999,47.77,51.82,25.34,18.48,83.440002,109.07,53.34,124.389999,32.349998,140.089996,67.480003,29.07,58.279999,28.690001,151.800003,17.969999,21.559999
"3135",87.139999,206.979996,109.220001,75.089996,121.389999,27.549999,8.2,18.540001,45.27,75.550003,113.970001,7.1,10.05,32.470001,49.68,47.470001,51.18,25.559999,18.879999,82.110001,109.160004,53.560001,124.169998,32.299999,139.440002,66.540001,28.68,57.630001,28.35,151.740005,18.27,21.719999
"3136",86.470001,207.479996,110.709999,75.739998,122.93,28.219999,8.36,18.65,46.099998,76.980003,113.900002,7.23,10.1,32.130001,50.470001,47.419998,51.700001,25.879999,19.139999,84.300003,109.650002,53.830002,125.370003,32.439999,140.229996,67.980003,28.66,57.330002,28.469999,154.830002,18.02,21.9
"3137",86.160004,207.940002,109.910004,75.32,122.889999,27.74,8.18,18.469999,45.650002,76.93,114.419998,7.45,10.04,33.169998,48.799999,46.889999,51.509998,25.809999,20.530001,83.550003,109.620003,54.139999,125.209999,32.41,140.449997,67.589996,28.84,57.630001,28.620001,153.770004,17.559999,22.139999
"3138",86.209999,211.25,110.190002,76.610001,124.279999,28.01,8.12,18.65,45.860001,75.370003,116.059998,7.4,10.04,33.209999,48.040001,46.880001,51.52,25.959999,23.57,85.239998,110.32,53.830002,125.800003,32.540001,142.210007,68.099998,28.9,57.34,28.040001,153.270004,17.49,21.92
"3139",87.599998,209.389999,109.440002,77.690002,124.93,27.700001,8.45,18.17,46.889999,73.489998,115.839996,6.87,9.99,33.400002,48.869999,47.509998,51.25,25.84,22.959999,85.75,111.129997,52.93,124.830002,32.450001,142.089996,67.970001,29.129999,57.77,27.9,153.240005,17.629999,22.299999
"3140",86.720001,205.5,108.660004,76.949997,124.910004,27.92,8.25,17.870001,46.27,73.150002,116.970001,6.84,9.95,32.68,47.169998,45.98,51.220001,25.84,21.67,84.5,111.239998,52.779999,124.790001,32.580002,143.059998,67.410004,29.299999,58.27,27.610001,152.330002,17.1,21.799999
"3141",85.699997,204.740005,107.760002,76.269997,123.639999,27.620001,8.81,17.799999,46.139999,72.080002,116.419998,6.83,9.84,32.77,48.139999,46.009998,51,25.75,21.6,82.620003,110.720001,53.049999,123.93,32.549999,144.240005,66.540001,28.690001,58,27.870001,154.5,16.77,21.299999
"3142",85.589996,206.419998,108.480003,76.599998,123.93,27.870001,8.89,17.82,45.799999,71.110001,114.589996,6.56,9.91,32.200001,48.82,46.459999,50.700001,25.51,21.719999,82.550003,110.160004,52.849998,123.290001,32.529999,141.850006,67.220001,28.93,56.990002,28.25,149.929993,17.360001,21.65
"3143",85.870003,207.020004,108.839996,75.82,123.110001,28.440001,9.08,18.01,46.290001,72.199997,115.839996,6.59,10.2,31.450001,48.349998,46.82,50.740002,25.84,23.950001,83.660004,110.099998,52.880001,123.669998,32.98,140.690002,68.150002,28.620001,57.25,29.01,151.710007,17.68,21.530001
"3144",86.610001,207.970001,111.800003,76.629997,124.440002,28.57,9.23,18.219999,47.32,72.209999,115.370003,6.57,10.23,31.860001,49.32,47.549999,50.779999,25.84,22.92,83.949997,110.489998,52.880001,123.989998,33.509998,139.279999,70.029999,28.870001,57.130001,29.299999,154.139999,17.879999,21.459999
"3145",86.940002,210.279999,113.68,76.559998,124.839996,28.690001,9.32,18.17,47.689999,73.449997,115.290001,6.58,10.15,31.49,48.740002,47.849998,51.540001,26.120001,23.35,85.410004,110.620003,52.959999,125.790001,33.43,139.360001,70.739998,28.870001,56.66,28.959999,156.589996,17.26,21.389999
"3146",87.040001,210.139999,113.800003,75.720001,122.93,28.879999,9.43,18.24,47.23,74.629997,115.889999,6.88,10.12,30.950001,48.130001,47.110001,51.43,26.1,22.4,84.959999,111.599998,52.779999,127,33.84,140.029999,70.440002,29.02,58.130001,28.809999,159.789993,16.379999,21.040001
"3147",87.900002,212.100006,112.82,76.440002,123.349998,28.889999,9.6,18.459999,47.66,74.639999,117.209999,6.98,10.2,31.25,47.130001,47.52,51.889999,26.059999,22.370001,86.199997,112.32,53.919998,126.830002,33.98,142.139999,70.849998,29.379999,58.130001,29.09,160.630005,16.35,21.27
"3148",88.639999,211.460007,113.489998,76.129997,123.540001,29.23,9.47,18.41,47.77,75.150002,116.480003,7.04,10.2,31.98,47.130001,48.279999,51.880001,26.16,21.790001,86.82,111.980003,54.43,126.57,34.299999,140.570007,71.400002,29.379999,58.310001,28.83,160.619995,17.309999,21.700001
"3149",88.910004,212.910004,112.870003,76.480003,123.599998,28.9,9.17,18.34,47.529999,72.660004,116.889999,6.87,10.2,31.82,45.509998,48.27,52.080002,26.190001,21.73,88.480003,112.720001,54.950001,126.870003,34.25,140.970001,71.129997,29.370001,57.889999,29.120001,158.190002,18.23,21.67
"3150",87.800003,212,113.349998,76.43,123.349998,29.23,9.37,18.08,47.830002,72.980003,117.010002,6.84,10.14,30.92,45.169998,47.75,51.689999,26.07,21.889999,88.040001,112.879997,54.790001,126.900002,33.540001,141.410004,71.559998,29.620001,56.41,28.84,155.5,17.99,21.23
"3151",85.849998,210.75,113.019997,77.510002,125.440002,29.129999,9.18,18.34,47.150002,73.220001,117.790001,7.16,10.11,30.33,45.740002,47.16,51.860001,26.389999,21.4,87.440002,112.980003,55.16,127.379997,33.759998,141.210007,71.129997,30.290001,57,28.440001,156.429993,17.950001,21.18
"3152",86.470001,214.039993,114.099998,77.57,125.43,28.790001,8.97,18.16,47.139999,73.050003,117.25,6.91,10.19,30.57,44.5,48.119999,51.84,26.26,20.450001,88.290001,113.919998,55.860001,126.75,33.459999,140.110001,71.610001,30.52,56.919998,28.129999,156.289993,17.610001,21.4
"3153",87.529999,218.229996,115.300003,77.629997,125.980003,29.02,9.25,18.200001,47.360001,73.18,117.910004,7.1,10.49,31.360001,45.07,48.709999,52.509998,26.48,19.4,89.120003,114.599998,56.689999,127.709999,33.650002,134.300003,71.769997,30.57,57.189999,28.33,158.580002,18.52,21.91
"3154",86.800003,218.699997,113.900002,77.080002,125.720001,29.379999,8.56,18.129999,46.709999,73.120003,118.029999,7.11,10.42,31.15,44.029999,49.259998,52.259998,26.540001,17.74,89.480003,114.980003,56.470001,127.629997,33.709999,134.710007,71.709999,30.309999,57.580002,27.959999,158.919998,18.139999,22.040001
"3155",88.309998,217.259995,115.120003,75.93,124.760002,29.41,8.2,18.299999,45.299999,72.379997,118.169998,7.22,10.51,31.01,45.509998,49.84,53.279999,26.16,18.129999,88.599998,114.760002,56.220001,128.610001,33.580002,132.5,71.32,30.32,57.41,28.440001,161.759995,18.450001,22.030001
"3156",87.860001,215.610001,113.989998,75.480003,124.139999,28.860001,8.11,17.9,45.209999,72.080002,118.190002,7.09,10.33,29.780001,38.849998,48.599998,52.299999,25.879999,18.450001,87.5,114.599998,56.299999,129.360001,33.259998,131.860001,70.82,30.139999,57.220001,28.190001,157.669998,18.370001,21.52
"3157",88.5,214.440002,114.669998,74.839996,124.68,28.76,7.83,17.799999,45.82,70.199997,117.970001,6.92,10.26,29.370001,39.34,48.57,52.439999,25.76,18.459999,87.440002,114.720001,55.220001,129.809998,33.09,132.070007,71.790001,29.93,57.209999,28.18,157.899994,18.75,21.549999
"3158",88.010002,213.039993,113.540001,74.989998,125.040001,28.59,7.91,17.67,46.029999,70.230003,116.790001,6.95,10.2,29.719999,40.990002,49.330002,52.02,25.879999,17.790001,86.550003,113.900002,54.639999,130.169998,32.790001,130.309998,70.919998,30.200001,56.59,28.02,156.929993,18.629999,22.1
"3159",87.220001,211.270004,114.269997,75.07,125.309998,28.35,7.69,17.469999,46.48,69.620003,117.129997,7,10.02,28.76,39.98,49.650002,52.68,25.860001,17.65,85.970001,112.82,54.200001,131.139999,32.130001,128.639999,71.110001,30.68,55.5,27.9,158.899994,17.82,22.09
"3160",88.540001,213.080002,116.360001,75.370003,125.82,29.200001,7.68,17.85,47.200001,68.32,117.190002,7.09,10.17,29.07,39.66,50.720001,54.119999,26.200001,18.889999,86.699997,112.089996,54.650002,131.75,32.09,128.839996,71.989998,30.49,55.48,27.77,157.639999,17.459999,22.6
"3161",89.089996,214.710007,116.830002,75.360001,126.540001,29.709999,8,17.85,48.450001,68.730003,115.800003,7.66,10.33,30.02,39.849998,51.619999,54.720001,26.360001,18.889999,86.699997,112,55,133,33.240002,129.779999,73.010002,30.48,55.970001,27.99,158.5,18.34,23.25
"3162",87.970001,215.550003,115.709999,74.93,125.629997,29.370001,7.6,17.719999,48.09,74.68,116.720001,7.44,9.56,30.309999,39.389999,51.099998,54.91,26.030001,18.35,87.279999,112.220001,55.049999,132.5,33.810001,131.119995,71.389999,30.209999,56.360001,27.440001,150.029999,18.030001,22.77
"3163",87.059998,216.910004,116.220001,74.809998,123.720001,30.469999,7.54,17.610001,49.299999,75.989998,118.5,7.99,9.57,30.5,40.900002,52.299999,53.25,25.75,18.700001,87.540001,113.019997,55.759998,131.949997,34.150002,130.729996,72.160004,30.209999,57.080002,27.450001,152.619995,17.469999,22.870001
"3164",87.230003,218.039993,115.849998,75.339996,124.230003,30.469999,7.86,17.5,48.279999,74.220001,117.959999,7.78,9.6,30.940001,40.060001,53.459999,52.880001,25.530001,18.280001,87.620003,112.269997,55.439999,131.729996,34.34,133.020004,71.760002,29.700001,57.369999,27.790001,153.039993,18.01,22.690001
"3165",86.879997,217.360001,115.589996,75.349998,124.339996,30.549999,7.91,17.68,48.549999,73.150002,118.010002,7.52,9.55,30.690001,40.599998,53.299999,52.549999,25.32,18,87.199997,112.059998,54.98,131.130005,34.18,132.080002,71.709999,29.389999,56.630001,27.860001,151.800003,18.09,22.530001
"3166",86.400002,213.690002,116,74.360001,123.110001,30.02,7.93,17.389999,48.41,72.779999,117,7.33,9.53,33.110001,39.98,53.860001,51.529999,24.879999,18.129999,86.029999,110.379997,54.560001,129.050003,34.049999,130.220001,71.160004,30.110001,55.27,27.690001,150.639999,18.139999,22.73
"3167",82.620003,212.830002,112.940002,72.459999,120.739998,29.4,7.83,17.059999,47.060001,70.919998,116.25,7.18,9.31,30.83,38.990002,49.650002,50.959999,24.82,18.049999,83.120003,109.379997,52.59,129.619995,34.119999,130.289993,68.349998,29.889999,55.259998,27.469999,149.949997,17.09,21.209999
