"","FTR.Close","UBSI.Close","INO.Close","GRPN.Close","FFIN.Close","GOOG.Close","ONCY.Close","ARWR.Close","COST.Close","AAL.Close","CSSEP.Close","MSFT.Close","DLTR.Close","KGJI.Close","AMZN.Close","ROST.Close","TMUS.Close","PBYI.Close","NFLX.Close","HOFT.Close","SDC.Close","RRGB.Close","JBLU.Close"
"94",0.59,35.68,5.32,2.91,33.869999,1433.900024,3.14,44.009998,309.450012,26.110001,25.77,162.279999,88.400002,1.49,1828.339966,114.849998,80.720001,8.05,342.880005,24.6,13.26,33.669998,20.040001
"95",0.59,35.549999,4.36,2.95,34.549999,1452.560059,2.97,45.400002,310.850006,26.9,26,165.460007,86.760002,1.46,1853.25,114.480003,81.660004,8.34,348.519989,25,12.96,33.240002,20.27
"96",0.57,34.310001,4.11,2.88,33.889999,1458.630005,2.55,44.040001,309.579987,26.799999,25.919001,168.039993,86.110001,1.4,1858,114.269997,80.260002,8.5,343.160004,24.76,13.92,33.799999,19.940001
"97",0.55,35.009998,4.66,2.96,34.549999,1455.839966,2.67,41.52,309.470001,27.719999,25.77,172.779999,87.610001,1.31,1870.680054,114.18,80.940002,8.1,347.73999,24.629999,13.44,33.41,20.200001
"98",0.55,34.299999,4.53,2.88,33.52,1434.22998,2.62,41.91,305.519989,26.84,25.683001,170.229996,87.07,1.26,2008.719971,112.190002,79.190002,7.86,345.089996,24.639999,13.39,32.869999,19.83
"99",0.56,34.299999,3.91,2.9,34.110001,1485.939941,2.84,43.259998,302,27.16,25.799999,174.380005,87.510002,1.25,2004.199951,113.830002,79.459999,8.04,358,24.07,13.05,32.470001,20.02
"100",0.57,34.720001,3.71,3.03,34.41,1447.069946,2.84,43.900002,304.899994,28.43,25.941,180.119995,88.309998,1.25,2049.669922,116.349998,81.510002,10.58,369.01001,24.110001,13.73,33.330002,20.42
"101",0.56,35.450001,3.56,3.09,35.16,1448.22998,2.74,43.720001,308.950012,29.1,25.77,179.899994,88.709999,1.3,2039.869995,118.739998,81.790001,14.57,369.670013,24.25,14.15,34.639999,20.690001
"102",0.56,34.91,3.37,3.13,34.73,1476.22998,2.82,41.099998,310.609985,28.299999,25.82,183.630005,87.940002,1.38,2050.22998,118.190002,82.769997,13.51,366.950012,24.26,14.145,34.700001,20.08
"103",0.56,34.299999,3.19,3.05,34.439999,1479.22998,2.68,40.43,313.630005,28.379999,25.951,183.889999,87.139999,1.33,2079.280029,117.43,85.440002,12.8,366.769989,23.370001,14.54,34.349998,19.940001
"104",0.56,34.380001,3.48,2.93,34.68,1508.680054,2.55,42.849998,313.790009,28.790001,25.860001,188.699997,87.18,1.38,2133.909912,118.260002,84.529999,12.33,371.070007,22.52,14.38,33.950001,20.02
"105",0.58,34.43,3.39,2.89,34.599998,1508.790039,2.49,41.580002,310.679993,29.84,25.915001,184.440002,88.190002,1.31,2150.800049,119.699997,94.489998,12.34,373.690002,22.01,14.86,34.02,20.51
"106",0.59,34.509998,3.34,2.95,34.599998,1518.27002,2.65,42.41,315.119995,30.469999,25.879999,184.710007,89.519997,1.33,2160,120.059998,95.669998,12.54,380.01001,22.030001,14.91,35.610001,21.129999
"107",0.57,34.540001,3.86,2.96,35,1514.660034,2.56,41.049999,318.200012,30.09,25.948,183.710007,89.269997,1.29,2149.870117,120.599998,95.139999,12.3,381.399994,22.129999,15.33,35.48,21.559999
"108",0.57,34.360001,4.15,2.83,34.580002,1520.73999,2.59,41.27,318.309998,29.200001,25.889999,185.350006,88.68,1.19,2134.870117,121.779999,96.480003,12.25,380.399994,22.25,12.83,35.209999,21.27
