stockSymbol,stockName,dailyClose,volatility,avgVolume
AIW,Arlington Asset I...,16.95,79.688,"4,685"
AIZ,"Assurant, Inc.",83.44,63.522,"495,225"
AIZP,"Assurant, Inc. 6....",86.16,55.706,"23,315"
AJG,Arthur J. Gallagh...,68.55,46.33,"1,015,078"
AJRD,Aerojet Rocketdyn...,40.77,47.164,"720,672"
AJX,Great Ajax Corp.,5.71,97.563,"173,501"
AJXA,Great Ajax Corp. ...,21.08,33.782,"26,124"
AKAM,Akamai Technologi...,88.85,23.671,"1,662,684"
AKBA,Akebia Therapeuti...,5.53,93.191,"1,610,782"
AKCA,Akcea Therapeutic...,12.76,63.735,"276,039"
AKER,Akers Biosciences...,1.98,76.368,"179,598"
AKG,Asanko Gold Inc.,0.72,45.079,"451,343"
AKO.A,Embotelladora And...,9.79,31.868,"1,728"
AKO.B,Embotelladora And...,11.15,36.42,"9,561"
AKR,Acadia Realty Trust,14.47,67.588,"692,651"
AKRO,Akero Therapeutic...,15.65,73.381,"171,270"
AKS,AK Steel Holding ...,1.55,76.744,"7,302,814"
AKTS,Akoustis Technolo...,4.71,78.46,"520,372"
AKTX,Akari Therapeutic...,1.27,70.792,"223,494"
AL,Air Lease Corpora...,14.77,121.852,"1,516,990"
ALAC,Alberton Acquisit...,10.28,2.724,"43,158"
ALACR,Alberton Acquisit...,0.19,47.593,"15,171"
ALACU,Alberton Acquisit...,10.01,4.837,"6,248"
ALB,Albemarle Corpora...,61.94,50.081,"2,130,608"
ALBO,"Albireo Pharma, Inc.",13.65,93.573,"121,090"
ALC,Alcon Inc.,46.05,43.236,"1,229,949"
ALCO,"Alico, Inc.",27.2,46.066,"17,745"
ALDX,Aldeyra Therapeut...,2.11,119.152,"211,505"
ALE,"Allete, Inc.",63.65,36.913,"308,605"
ALEC,"Alector, Inc.",27.89,35.063,"710,519"
ALEX,Alexander & Baldw...,9.09,104.855,"814,933"
ALG,"Alamo Group, Inc.",79.7,54.103,"57,214"
