"","TGT.Close","HD.Close","JPM.Close","XOM.Close","CVX.Close","MGM.Close","TEVA.Close","HST.Close","FCAU.Close","WFC.Close","WWE.Close","QSR.Close","SCE.PB.Close","WM.Close","S.Close","GM.Close","F.Close","JWN.Close","NUS.Close","AMC.Close","KSS.Close","LUV.Close","HMC.Close","PCG.Close","NKE.Close","WMT.Close","TJX.Close","TM.Close","T.Close","JNJ.Close","C.Close","EPD.Close","VZ.Close","HRB.Close","AAP.Close","SIG.Close","M.Close","YELP.Close"
"277",82.800003,131.080002,59.400002,84.220001,94.68,20.450001,53.860001,16.34,7.66,48.700001,17.889999,38.25,23.919901,59.380001,3.26,31.02,13.09,56.700001,37.389999,28.73,46.790001,43.810001,27.120001,58.52,61.34,68.120003,38.880001,108.690002,39.07,108.230003,41.919998,24.299999,53.400002,26.42,161.759995,122.75,44.380001,18.969999
"278",82.970001,132.470001,59.029999,84.529999,95.32,21.219999,54.950001,16.459999,7.82,48.049999,18.34,38.84,23.5,59.709999,3.42,31.190001,13.2,57.310001,38.18,28.950001,46.549999,44.639999,27.379999,59.189999,61.490002,68.029999,39.310001,108.349998,39.450001,109.139999,41.720001,24.309999,54.049999,26.719999,163.029999,122.910004,44.419998,19.629999
"279",83.599998,133.419998,59.709999,84.519997,95.25,21.290001,54.400002,16.459999,8.15,48.650002,17.790001,39.330002,23.799999,59.630001,3.45,30.99,13.35,57.5,38.5,28.360001,46.049999,44.98,26.950001,59.439999,62.040001,68.800003,39.34,107.599998,39.369999,108.980003,41.880001,24.379999,54.040001,26.41,163.789993,119.68,44.099998,20.43
"280",82.760002,134.850006,59.869999,82.959999,94.260002,21.92,54.209999,16.059999,7.73,48.450001,17.309999,39.23,23.815001,59.169998,3.63,30.469999,13.1,57.23,38.889999,28.639999,45.740002,44.560001,26.290001,59.830002,61.59,69.059998,39.389999,103.540001,39.049999,109.190002,42.470001,24.190001,54.009998,26.23,160.419998,123.970001,42.959999,19.549999
"281",82.300003,134.850006,59.200001,83.160004,93.43,21.620001,54.66,15.68,7.69,48.5,16.559999,38.939999,23.6936,58.68,3.44,29.9,12.8,55.549999,37.009998,27.83,45.099998,44.110001,26.17,59.52,59.970001,69.099998,39.279999,101.379997,39.360001,108.589996,42.060001,24.25,54.419998,26.33,159.229996,121.029999,42.16,19.610001
"282",82.169998,135.440002,58.810001,83.309998,94.839996,21.360001,56.73,15.48,7.26,48.080002,16.450001,39.110001,23.500099,57.709999,3.59,29.940001,12.82,54.720001,38.099998,28.120001,44.860001,43.669998,26.059999,58.669998,60.310001,69.040001,38.794998,99.510002,38.639999,109.419998,41.860001,24.25,53.52,25.42,159.880005,120.040001,41.57,20.059999
"283",81.57,133.869995,57.32,82.370003,94.790001,21.67,56.5,15.29,6.92,46.93,16,38.330002,23.8447,57.59,3.51,29.42,12.52,52.450001,38.459999,27.299999,43.990002,43.650002,25.68,58.75,60.299999,68.220001,38.095001,98.269997,38.59,109.269997,40.27,24.09,52,24.76,155.830002,116.07,40.619999,19.59
"284",80.879997,133.619995,57.740002,83.209999,96.330002,22.389999,56.290001,15.26,7.21,47.07,16.209999,38.029999,23.98,57.669998,3.5,29.370001,12.55,51.139999,38.310001,27.360001,43.369999,44.5,26.4,59.299999,59.419998,68.059998,38.09,100.660004,38.5,109.099998,40.470001,24.4,52.18,24.35,156.110001,114,39.68,19.48
"285",80.779999,134.380005,59.279999,84.349998,97.510002,22.65,54.93,15.86,7.32,47.77,16.16,39.709999,23.98,57.209999,3.49,29.709999,12.81,51.59,39.57,27.389999,42.68,44.650002,27.200001,59.209999,58.549999,68.800003,38.02,101.580002,38.669998,109.599998,41.900002,25.01,51.950001,24.209999,156.5,112.510002,40.07,19.68
"286",81.559998,133.839996,61.790001,84.830002,97.599998,23.1,55.639999,16.1,7.63,49.029999,16.280001,39.720001,23.75,57.009998,3.42,30.780001,13.06,51.990002,39.209999,28.16,43.25,45.84,27.889999,58.830002,59.580002,69.150002,38.314999,104.260002,38.25,109.870003,44.25,25.059999,51.290001,25.01,160.490005,115.379997,40.330002,20.530001
"287",81.779999,134.369995,62.59,85.43,97.980003,22.809999,55.73,16.09,7.58,48.790001,16.209999,39.080002,24.014999,56.959999,3.5,30.719999,13.09,51.299999,39.77,27.860001,42.900002,46.709999,27.9,58.849998,59.490002,68.800003,38.165001,104.959999,38.419998,109.839996,44.98,24.360001,51.360001,24.02,160.940002,112.599998,39.66,20.639999
"288",82.599998,135.009995,61.869999,84.970001,97.230003,22.790001,55.18,16.209999,7.52,48.25,16.34,40.040001,23.5755,56.900002,3.59,30.559999,12.94,51.700001,40.18,27.57,43.369999,47.040001,27.540001,59.279999,59.5,69.059998,38.650002,103.68,38.48,110.18,44.919998,23.98,51.349998,23.870001,161.190002,112.099998,40.639999,21.02
"289",83.419998,136.800003,62.27,85.779999,98.699997,22.870001,54.990002,15.86,7.76,48.84,16.440001,41.040001,23.9,57.169998,3.56,31.309999,13.25,52.330002,40.189999,28.219999,44.09,47.099998,27.879999,59.549999,59.57,69.860001,38.814999,103.360001,38.650002,110.93,45.110001,24.879999,51.73,24.15,160.940002,113.209999,40.720001,21.34
"290",83.980003,135.440002,63.32,86.209999,100.5,23.030001,56.66,15.86,8.04,49.880001,16.360001,41.23,24.171801,57.130001,3.68,31.969999,13.44,52.509998,40.299999,27.75,44.849998,47.130001,28.5,59.580002,59.560001,69.769997,38.860001,104.699997,38.919998,112.68,45.630001,26.190001,52.080002,24,160.789993,111.889999,41.150002,20.780001
"291",82.870003,135.190002,64.239998,86.800003,101.690002,22.790001,56.560001,15.54,8.17,50.450001,16.790001,41.91,24.149799,56.740002,3.8,32.189999,13.64,53.57,39.93,27.77,46.130001,47.049999,28.389999,58.400002,59.619999,69.209999,38.810001,104.849998,38.720001,113.580002,46.740002,26.700001,51.75,23.77,158.389999,112.190002,41.360001,21.15
"292",82.75,134.600006,63.599998,86.790001,101.400002,22.290001,57.25,15.59,8.19,50.049999,16.549999,41.279999,24.1,56.349998,3.68,32.66,13.65,53.279999,38.450001,27.459999,45.43,47.73,28.24,56.619999,60.080002,68.470001,38.505001,105.440002,37.860001,113.57,46.599998,26.790001,50.029999,23.76,157.130005,112.110001,41.549999,21.49
"293",82.330002,135.660004,63.970001,87.529999,102.010002,22.17,57.049999,15.34,8.01,50.619999,16.85,40.66,23.6201,56.389999,3.74,32.18,13.61,51.59,38.720001,27.459999,45.459999,47.25,28.65,56.990002,59.43,68.720001,38.264999,107.449997,38.07,113.32,46.970001,27.299999,50.549999,23.83,158.399994,111.910004,40.959999,21.52
"294",82.599998,135.339996,63.93,87.629997,102.290001,21.84,55.5,15.51,8.04,50.919998,17.07,41.630001,23.922501,56.529999,3.68,32.189999,13.75,52.77,38.349998,27.42,45.759998,46.18,28.709999,57,59.540001,69.300003,38.580002,107.32,38.09,112.910004,47.099998,27.25,50.439999,23.82,158.279999,111.510002,40.540001,21.15
"295",83.290001,135.75,64.110001,88.459999,103.849998,21.93,56.23,15.94,8.17,50.93,16.870001,42.41,24.48,56.400002,3.68,32.16,13.66,53.470001,39.5,28.01,45.98,45.57,28.469999,57.759998,59.27,69.419998,38.869999,106.370003,38.720001,112.769997,47.330002,27.129999,51.689999,20.59,159.270004,111.919998,41.009998,21.08
"296",81.330002,132.729996,63.599998,88.029999,102.400002,21.35,54.990002,15.82,8.26,50.41,17.059999,42.869999,24.790001,58.310001,3.58,32.439999,14.09,52.73,39.34,28.23,45.509998,44.060001,27.23,57.759998,58.540001,68.910004,38.445,102.959999,38.639999,112.480003,46.73,26.799999,51.02,21.01,155.869995,108.690002,40.599998,21.01
"297",79.5,133.889999,63.200001,88.400002,102.18,21.299999,54.450001,15.82,8.09,49.98,16.639999,43.259998,24.549999,58.790001,3.43,31.799999,13.56,51.130001,40.77,28.18,44.299999,44.610001,26.959999,58.200001,58.939999,66.870003,37.91,101.699997,38.82,112.080002,46.279999,26.690001,50.939999,20.24,156.100006,108.559998,39.59,21
"298",79.989998,134.539993,62.560001,88.110001,101.32,21.440001,54.200001,16.110001,7.96,50,16.889999,42.790001,24.1784,59.84,3.67,31.25,13.43,50.799999,37.630001,28.530001,43.880001,43.139999,26.76,59.009998,59.52,67,38.514999,101.449997,38.91,112.690002,45.57,25.459999,50.68,20.290001,156.009995,109.400002,39.490002,22.15
"299",79.709999,135.160004,61.57,87.940002,100.589996,21.469999,53.830002,16.16,7.83,48.939999,16.66,42.830002,24.75,60.41,3.47,30.59,13.31,49.549999,37.110001,28.76,42.439999,41.66,26.469999,59.139999,59.110001,67.190002,38.505001,100.620003,38.880001,112.220001,44.66,25.530001,50.84,20.209999,155.839996,109.480003,38.68,21.639999
"300",78.129997,134.669998,61.240002,88.040001,101.419998,21.870001,53.869999,16.18,7.65,48.959999,16.799999,42.759998,24.5,60.299999,3.44,30.540001,13.32,48.709999,37.330002,28.870001,41.66,41.529999,26.629999,59.150002,58.189999,67.209999,38.27,101.269997,38.740002,112.879997,44.23,25.65,50.84,20.030001,148.740005,108.699997,37.900002,21.42
"301",78.739998,135.699997,61.599998,88.510002,101.860001,22.01,50.27,16.360001,7.72,49.02,17.129999,42.509998,24.5,60.689999,3.54,30.959999,13.44,48.060001,38.209999,29.15,41.369999,41.73,27.43,59,58.43,68.25,38.305,101.959999,38.990002,112.739998,44.41,26.049999,51.119999,19.700001,150.520004,107.989998,37.650002,26.5
"302",79.93,136.240005,61.209999,88.57,100.349998,21.85,52.810001,16.41,7.59,48.880001,17.059999,42.299999,24.198999,61.200001,3.4,30.780001,13.32,49.200001,37.349998,29.15,42.169998,42.189999,27.629999,59.119999,58.720001,68.949997,38.889999,102.610001,38.860001,113.720001,43.889999,25.68,51.080002,19.85,151.529999,107.620003,37.740002,25.84
"303",80.050003,137.509995,62.040001,89.989998,101.269997,22.58,52.869999,16.67,7.82,49.400002,17.43,42.619999,24.129999,61.349998,3.5,31.35,13.49,48.860001,38.860001,29.93,41.18,42.849998,28.25,59.25,59.200001,68.790001,38.314999,104.82,39.310001,114.669998,44.84,25.690001,51.540001,20.01,152.289993,108.110001,36.990002,26.32
"304",75.699997,134.300003,61.810001,88.809998,101.139999,22.01,50.919998,16.07,7.6,49.080002,18.08,41.169998,24.18,61.310001,3.49,31.08,13.32,45.43,38.700001,29.65,38.700001,42.110001,27.459999,59.139999,57.009998,66.410004,37.014999,98.440002,39.18,114.370003,44.470001,26.02,51.150002,19.459999,148.130005,103.980003,31.379999,25.309999
"305",75.599998,134.190002,61.77,89.669998,102.120003,21.940001,50.25,15.89,7.62,49.200001,17.790001,40.790001,24.299999,61.779999,3.49,31.18,13.35,45.23,39.799999,29.23,35.150002,41.220001,27.610001,59.240002,57.990002,66.849998,37.139999,101.379997,39.549999,114.230003,44,26.27,51.470001,19.52,150,104.099998,31.209999,24.5
