"","FTR.Close","UBSI.Close","INO.Close","FFIN.Close","GOOG.Close","ONCY.Close","ARWR.Close","COST.Close","AAL.Close","MSFT.Close","DLTR.Close","KGJI.Close","AMZN.Close","ROST.Close","NFLX.Close","HOFT.Close","RRGB.Close","JBLU.Close"
"606",109.199997,21.040001,2.4,8.138333,207.835983,16.530001,5.2,48.52,2.58,20.889999,14.923333,0.1,77.989998,9.79,5.631429,12.4,17.299999,4.53
"607",112.650002,21.83,2.52,8.25,212.483566,16.91,4.9,49.700001,2.95,21.4,15.093333,0.1,83.050003,9.9775,5.848571,13.62,17.959999,4.86
"608",112.650002,21.940001,2.64,8.331667,213.400131,16.15,4.8,49.450001,3.08,21.4,15.413333,0.1,84.93,10.08,5.881429,12.14,17.950001,5.03
"609",112.199997,22.360001,2.76,8.308333,215.019058,16.34,5.3,48.470001,2.95,21.73,15.123333,0.1,85.68,10.04,5.785714,11.99,17.67,4.29
"610",113.099998,23.49,2.64,8.5,219.317947,16.245001,5.3,47.869999,2.86,21.83,14.763333,0.1,85.519997,9.7825,5.815714,12,17.969999,4.42
"611",107.550003,22.18,2.72,8.265,221.330399,15.96,5.2,47.639999,2.91,22.139999,14.79,0.1,87.559998,9.84,5.598571,11.94,18.34,4.36
"612",107.25,22.629999,2.56,8.348333,218.565765,16.625,4.95,47.529999,2.73,22.049999,14.76,0.06,86.360001,9.9375,5.544286,12.06,18.65,4.26
"613",105.75,22.91,3,8.346666,216.996643,16.625,5.05,47.130001,2.75,22.08,14.773334,0.06,87.080002,9.9675,5.572857,12.97,19.15,4.49
"614",104.699997,21.959999,2.96,8.203333,215.492279,17.764999,5,46.59,2.63,22.549999,14.723333,0.06,86.589996,9.9025,5.408571,11.91,19.33,4.32
"615",106.199997,22.299999,3.52,8.24,213.699005,19.379999,5.2,46.27,2.67,22.83,14.486667,0.06,85.690002,9.71,5.391428,12.14,18.559999,4.26
"616",105.449997,21.9,3.8,8.336667,211.62677,19.094999,5,47.029999,2.71,23.33,14.43,0.06,84.080002,9.8575,5.405715,12.1,18.74,4.2
"617",103.650002,20.889999,3.72,8.148334,207.606842,17.575001,4.9,46.330002,2.61,23.42,14.123333,0.06,83.18,9.765,5.451428,12.81,18.26,4.14
"618",101.699997,20.309999,3.56,8.233334,207.223282,17.290001,4.8,45.950001,2.65,23.450001,13.896667,0.06,82.150002,9.5175,5.404286,11.86,17.889999,4.02
"619",102.900002,20.52,3.8,8.261666,206.80484,16.91,4.4,46.59,2.7,23.68,14.036667,0.06,82.650002,9.785,5.771429,12.56,18.17,4.13
"620",102.599998,20.73,3.44,8.228333,206.256897,16.815001,4.5,46.240002,2.63,23.5,13.91,0.06,81.599998,9.7375,5.901429,12.22,17.91,4.2
"621",99.75,20.48,3.52,8.518333,209.260635,16.815001,4.5,46.110001,2.57,24.07,14.056666,0.06,82.959999,9.665,5.941429,12.43,18.26,4.1
"622",102.599998,19.24,3.44,8.216666,202.914429,15.485,4.1,45.349998,2.47,23.280001,13.95,0.1,79.150002,9.7525,5.792857,11.3,17.549999,3.88
"623",105.449997,18.77,3.2,8.14,202.08255,14.82,4,45.07,2.17,23.34,13.776667,0.1,77.68,9.51,5.652857,11.46,17.129999,3.78
"624",105.150002,19.040001,3.12,8.043333,203.880798,15.865,4.8,45.040001,2.15,23.469999,13.773334,0.1,79.269997,9.4825,5.655715,11.66,17.5,3.97
"625",107.25,19.629999,2.84,8.373333,207.108704,16.34,4.99,46.279999,2.37,23.790001,14.02,0.1,82.199997,9.705,5.872857,11.68,17.889999,4.14
"626",105.599998,20.040001,3.12,8.37,211.865875,15.675,4.7,46.41,2.35,23.35,14.22,0.1,83.879997,9.5875,5.767143,11.7,17.82,4.31
"627",107.849998,19.9,3.2,8.423333,211.278076,15.485,4.4,46.200001,2.26,23.860001,14.24,0.1,83.029999,9.745,5.885714,11.51,18.280001,4.32
"628",107.099998,19.540001,3.2,8.393333,210.007843,15.58,4.4,45.779999,2.43,23.77,14.033334,0.1,83.660004,9.65,5.905715,11.48,18.75,4.27
"629",107.25,20.09,3.24,8.456667,208.712692,15.865,4.38,45.790001,2.41,24.040001,14.143333,0.1,81.599998,9.6275,5.802857,11.86,19,4.36
"630",105.300003,18.76,3.16,8.215,203.4823,15.01,4,44.639999,2.46,23.370001,13.8,0.1,79.32,9.4725,5.702857,11.3,18.02,4.19
"631",103.650002,18.959999,3.12,8.288333,204.040207,14.535,3.9,45.700001,2.37,23.200001,13.706667,0.1,78.099998,9.655,5.682857,11.41,17.98,4.14
"632",101.400002,18.32,3.2,8.161667,197.574448,14.345,3.9,44.540001,2.22,22.530001,13.53,0.1,75.629997,9.72,5.542857,12.16,17.629999,4.1
"633",98.550003,18.389999,3.24,8.183333,200.4935,13.87,3.5,46.02,2.14,22.559999,14.606667,0.1,77.360001,10.1375,5.528572,12,17.379999,4.18
"634",99.150002,18.52,3.28,8.168333,204.428757,14.44,3.5,45.5,2.16,22.440001,14.56,0.1,78.099998,10.29,5.707143,11.38,17.889999,4.29
"635",97.800003,18.15,3.12,8.175,206.42627,14.155,3.7,44.970001,2.06,22.389999,14.32,0.1,77.629997,10.21,5.724286,11.98,18.6,4.36
"636",99.75,18.57,3.16,8.465,211.357773,13.395,3.6,44.970001,2.11,23.23,14.526667,0.1,81.470001,10.4,6.027143,12,18.219999,4.5
"637",99.449997,18.18,2.96,8.386666,211.552048,13.68,3.4,45.029999,2.04,23.110001,14.573334,0.1,81.949997,10.46,6.185714,11.93,18.49,4.63
"638",100.199997,19.02,2.68,8.576667,218.266876,13.87,3.13,46.900002,2.1,24.120001,14.693334,0.1,84.550003,10.785,6.344285,12.22,19.459999,4.8
"639",101.849998,18.57,2.76,8.588333,220.473618,14.44,3.2,47.490002,2.08,24.440001,14.8,0.1,86.110001,10.905,6.304286,12.49,20.34,4.68
"640",102,17.27,2.8,8.436666,214.321671,14.535,3.28,47.48,2.04,24.290001,14.716666,0.1,85.849998,10.855,6.305714,12.1,20.24,4.61
"641",104.099998,17.370001,2.76,8.45,214.281815,15.105,3.25,48.470001,2.13,24.530001,15.006667,0.1,88.230003,10.9275,6.402857,12.55,20.42,4.75
"642",102,17.030001,2.64,8.365,213.151062,14.725,3.35,48.380001,2.08,24.83,15.186666,0.1,89.010002,10.855,6.397143,12.23,19.950001,4.57
"643",103.199997,16.969999,2.72,8.365,213.046448,15.01,3.2,48.82,2.05,24.799999,15.1,0.1,88.790001,10.9775,6.468572,12.19,19.77,4.78
"644",105.300003,18.48,2.8,8.605,217.853439,15.105,3.3,48.599998,2.3,25.559999,15.37,0.1,93.870003,11,6.637143,13.75,19.9,4.92
"645",105,17.719999,2.68,8.666667,222.525925,15.485,3.5,49.130001,2.79,23.450001,15.31,0.1,86.489998,11.1225,6.028572,13.03,19.5,5.03
"646",105.300003,18.530001,2.92,8.785,221.569504,17.67,3.7,48.68,2.8,23.110001,15.193334,0.1,84.239998,11.015,5.957143,13.49,19.280001,5.1
"647",105.150002,19.15,2.96,8.741667,219.103745,18.049999,4.39,48.84,2.9,23.469999,15.263333,0.1,84.980003,11.0425,6.048572,13.83,18.93,5.19
