"Stock","stock5yrMeans","Year","YearMeanValue","Direction5yr10PercentChange","nTimesDecr10_5yr","nTimesIncr10_5yr","nTimesDecrFromZero_5yrs","nTimesIncrFromZero_5yrs"
"LUV.Close",50.5661435154014,2015,40.9728174880952,"",NA,1,2,2
"LUV.Close",50.5661435154014,2016,41.5830952380952,"up",NA,1,2,2
"LUV.Close",50.5661435154014,2017,56.7354979920319,"up10",NA,1,2,2
"LUV.Close",50.5661435154014,2018,56.0334662948207,"down",NA,1,2,2
"LUV.Close",50.5661435154014,2019,53.0929365555556,"down",NA,1,2,2
"LUV.Close",50.5661435154014,2020,54.9790475238095,"up",NA,1,2,2
"M.Close",32.1473374649945,2015,59.4090873492064,"",4,1,NA,NA
"M.Close",32.1473374649945,2016,38.0255555357143,"down10",4,1,NA,NA
"M.Close",32.1473374649945,2017,25.0884064103586,"down10",4,1,NA,NA
"M.Close",32.1473374649945,2018,32.7158166613546,"up10",4,1,NA,NA
"M.Close",32.1473374649945,2019,20.4742063571429,"down10",4,1,NA,NA
"M.Close",32.1473374649945,2020,17.1709524761905,"down10",4,1,NA,NA
"MGM.Close",27.7943314907776,2015,20.8232936071429,"",NA,3,2,NA
"MGM.Close",27.7943314907776,2016,23.6467063373016,"up10",NA,3,2,NA
"MGM.Close",27.7943314907776,2017,30.7705577450199,"up10",NA,3,2,NA
"MGM.Close",27.7943314907776,2018,30.598685310757,"down",NA,3,2,NA
"MGM.Close",27.7943314907776,2019,28.3491269920635,"down",NA,3,2,NA
"MGM.Close",27.7943314907776,2020,32.577618952381,"up10",NA,3,2,NA
"MSFT.Close",94.8954482158456,2015,46.7142857738095,"",NA,5,NA,NA
"MSFT.Close",94.8954482158456,2016,55.2593251984127,"up10",NA,5,NA,NA
"MSFT.Close",94.8954482158456,2017,71.9840242310757,"up10",NA,5,NA,NA
"MSFT.Close",94.8954482158456,2018,101.03398412749,"up10",NA,5,NA,NA
"MSFT.Close",94.8954482158456,2019,130.382024011905,"up10",NA,5,NA,NA
"MSFT.Close",94.8954482158456,2020,163.999045952381,"up10",NA,5,NA,NA
"NFLX.Close",224.382641734833,2015,91.8956744087302,"",NA,3,NA,2
"NFLX.Close",224.382641734833,2016,102.030357198413,"up10",NA,3,NA,2
"NFLX.Close",224.382641734833,2017,165.374263059761,"up10",NA,3,NA,2
"NFLX.Close",224.382641734833,2018,319.290319007968,"up10",NA,3,NA,2
"NFLX.Close",224.382641734833,2019,328.87238006746,"up",NA,3,NA,2
"NFLX.Close",224.382641734833,2020,338.832856666667,"up",NA,3,NA,2
"NKE.Close",71.4152645031725,2015,55.1266070793651,"",NA,3,1,1
"NKE.Close",71.4152645031725,2016,56.2472619563492,"up",NA,3,1,1
"NKE.Close",71.4152645031725,2017,55.7060160119522,"down",NA,3,1,1
"NKE.Close",71.4152645031725,2018,72.9388047848606,"up10",NA,3,1,1
"NKE.Close",71.4152645031725,2019,86.7333729960317,"up10",NA,3,1,1
"NKE.Close",71.4152645031725,2020,101.739524190476,"up10",NA,3,1,1
"NSANY.Close",17.2846980173222,2015,19.8959524007937,"",2,NA,2,1
"NSANY.Close",17.2846980173222,2016,19.0858729920635,"down",2,NA,2,1
"NSANY.Close",17.2846980173222,2017,19.6755776334661,"up",2,NA,2,1
"NSANY.Close",17.2846980173222,2018,19.3678485577689,"down",2,NA,2,1
