"","AAL","AAP","ADDYY","AMZN","ARWR","C","COST","CVX","DLTR","EPD","F","FFIN","FTR","GOOG","HD","HMC","HOFT","HRB","HST","INO","JBLU","JNJ","JPM","JWN","KGJI","KSS","LUV","M","MGM","MSFT","NFLX","NKE","NSANY","NUS","ONCY","PCG","ROST","RRGB","S","SIG","T","TEVA","TGT","TJX","TM","UBSI","VZ","WFC","WM","WMT","WWE","XOM"
"MaxIncrDayCounts_Jan2007Feb2020","  62","1493","1565","1606","  70","  88","1598"," 101","1585","  86","  67","1452","  82","1646","1570","  86"," 106","  86","  93","  85","  88","1511","  82","  91","  93","  11"," 101","  69","  74","  92","1593","1593","  89","   1","  76","1445","1617","  73","  81","  66","  82","1354","  82","1594","  87","  97","  82","  94"," 107","1520","  95","1471"
"medianStockValue_2019","  30.945"," 158.570"," 147.145","1786.450","  27.195","  67.455"," 267.060"," 119.710"," 102.900","  28.345","   9.110","  31.135","   1.515","1185.010"," 207.925","  27.035","  24.270","  24.950","  17.905","   2.830","  18.005"," 134.885"," 111.330","  37.205","   0.775","  51.620","  52.885","  21.510","  28.020"," 135.220"," 334.430","  85.810","  13.990","  47.130","   1.700","  17.115"," 102.075","  31.345","   6.280","  19.120","  33.035","   9.790","  86.185","  54.020"," 126.525","  37.360","  57.975","  48.535"," 111.710"," 109.635","  73.485","  72.900"
"avgStockValue_2019","  30.8793255"," 158.5430555"," 140.8569444","1789.1892061","  29.5976189","  67.7997620"," 262.1952774"," 119.6251189"," 103.2895238","  28.2432142","   9.2386508","  31.6503769","   1.5904762","1188.3930575"," 207.3026982","  26.9271031","  24.9165476","  25.4877381","  17.9096825","   3.1247619","  17.9410317"," 134.9350401"," 113.8003176","  37.6047620","   0.9619444","  56.8702382","  53.0929366","  20.4742064","  28.3491270"," 130.3820240"," 328.8723801","  86.7333730","  14.3424603","  48.4029365","   1.4894444","  14.9673412"," 101.9447222","  30.9803572","   6.3160714","  20.5451983","  33.9290873","  11.4964286","  91.8574604","  54.2103969"," 128.5199207","  37.3213491","  58.0584128","  48.8625000"," 109.0856350"," 108.4055556","  75.1092066","  73.7346426"
"MedianGrtrThanAvg_2019","1","1","1","0","0","0","1","1","0","1","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","1","0","1","1","0","0","0","1","1","1","1","0","0","0","0","0","0","0","1","0","0","1","1","0","0"
"startValue_2019","  32.48"," 157.92"," 104.89","1539.13","  13.12","  53.53"," 204.76"," 110.69","  91.20","  24.99","   7.90","  28.99","   2.45","1045.85"," 172.41","  26.48","  27.50","  25.58","  16.39","   4.22","  16.20"," 127.75","  99.31","  47.48","   0.79","  67.80","  47.14","  30.76","  25.19"," 101.12"," 267.66","  74.06","  16.08","  60.84","   2.09","  23.80","  83.78","  26.77","   6.02","  33.07","  29.54","  15.85","  66.44","  44.66"," 116.28","  31.81","  56.02","  46.94","  88.72","  93.34","  74.19","  69.69"
"finalValue_2019","  28.68"," 160.16"," 162.80","1847.84","  63.43","  79.89"," 293.92"," 120.51","  94.05","  28.16","   9.30","  35.10","   0.89","1337.02"," 218.38","  28.31","  25.69","  23.48","  18.55","   3.30","  18.72"," 145.87"," 139.40","  40.93","   1.51","  50.95","  53.98","  17.00","  33.27"," 157.70"," 323.57"," 101.31","  11.57","  40.98","   4.76","  10.87"," 116.42","  33.02","   5.21","  21.74","  39.08","   9.80"," 128.21","  61.06"," 140.54","  38.66","  61.40","  53.80"," 113.96"," 118.84","  64.87","  69.78"
"stock_ROI_2019","0.8830049","1.0100000","1.5500000","1.2000000","4.8346037","1.4924341","1.4400000","1.0887162","1.0300000","1.1268507","1.1772152","1.2100000","0.3632653","1.2800000","1.2700000","1.0691088","0.9341818","0.9179046","1.1317877","0.7819905","1.1555556","1.1400000","1.4036854","0.8620472","1.9113924","0.7514749","1.1450997","0.5526658","1.3207622","1.5595332","1.2100000","1.3700000","0.7195274","0.6735700","2.2775120","0.4600000","1.3900000","1.2334703","0.8654485","0.6573934","1.3229519","0.6200000","1.9297110","1.3700000","1.2086343","1.2153411","1.0960371","1.1461440","1.2844905","1.2700000","0.8743766","1.0000000"
"medn_cSum_decr_L7_2019"," 3.00"," 4.50"," 3.00"," 3.00"," 3.50"," 6.00"," 3.50","25.00","10.25"," 2.00"," 2.50"," 7.25","20.00"," 3.00"," 6.50"," 8.75"," 2.00"," 2.00"," 5.00"," 2.00"," 3.50"," 4.50","16.00"," 4.00"," 2.00","18.00"," 6.00"," 4.00"," 7.75"," 9.00","14.00"," 5.50"," 8.00","15.00"," 7.00","16.00"," 3.50"," 5.50"," 6.75"," 3.00","10.25","20.00"," 2.00"," 5.00"," 9.00"," 8.00"," 2.00"," 2.50"," 8.75"," 3.50"," 7.50"," 4.00"
"Q3_cSum_decr_L7_2019","11.00"," 9.25","12.00"," 7.75","11.50","25.00","10.25"," 7.00","20.00"," 8.50"," 7.25","32.00"," 2.00","13.00","10.75","24.00"," 5.00"," 4.50"," 9.00"," 7.25"," 7.00"," 9.75"," 3.00"," 7.00"," 7.00"," 6.75","11.00"," 8.75","16.00"," 3.50"," 2.50"," 9.00"," 3.00"," 8.00"," 6.00","14.50","10.25"," 9.25"," 2.00","18.00","20.00"," 2.00"," 5.00"," 9.00"," 3.50"," 3.00"," 9.00"," 7.25","24.00","10.25","10.75"," 8.75"
"max_cSum_decr_L7_2019","20.00","22.00","21.00","16.00","25.00"," 7.00","20.00"," 6.00"," 2.00","17.00","32.00"," 3.00"," 5.00","31.00","28.00"," 4.00"," 9.00","18.00"," 3.50","14.00","24.00","34.00"," 7.75","16.00","15.00"," 2.00","21.00","24.00"," 3.00","10.25"," 7.25","35.00","18.00"," 3.00","25.00"," 2.50","20.00","17.00","15.00"," 6.75"," 2.00"," 5.00"," 9.00"," 3.50","10.25","18.00","30.00","32.00"," 4.00","20.00","18.00","24.00"
"medn_cSum_incr_L7_2019"," 5.00"," 4.00"," 2.00"," 3.00"," 4.00"," 6.00"," 2.00","25.00"," 5.00"," 2.50"," 3.00"," 7.25"," 9.00"," 3.00"," 3.50"," 8.75"," 3.50"," 2.00","10.25"," 1.00"," 3.00"," 3.50","16.00"," 3.00"," 3.00","15.00"," 5.00"," 4.00"," 7.75","20.00","32.00"," 2.00"," 6.75","18.00"," 7.00","16.00"," 2.00"," 3.00"," 8.00"," 2.00"," 5.00"," 9.00"," 3.50","10.25","20.00"," 6.75"," 3.50"," 3.00"," 8.75"," 2.00"," 7.00"," 4.00"
"Q3_cSum_incr_L7_2019"," 9.00"," 8.00"," 4.50"," 7.75"," 7.25","25.00"," 5.00"," 7.00"," 9.00"," 7.00"," 7.25","14.00"," 3.50"," 5.00"," 8.50","24.00","10.25"," 6.75","20.00"," 8.00"," 7.25"," 6.75"," 3.00"," 7.00"," 7.00"," 8.00","10.00"," 8.75","16.00"," 2.00"," 3.00"," 5.50"," 2.00"," 6.75"," 6.00","14.50"," 5.00"," 9.00"," 3.00","15.00"," 9.00"," 3.50","10.25","20.00"," 2.00"," 2.00"," 6.25"," 7.25","24.00"," 5.00","10.00"," 8.75"
