"Year","Annual_UE","stock","stockInfo","stockExchange","stock5yrMeans","YearMeanValue","Direction5yr10PercentChange","nTimesDecr10_5yr","nTimesIncr10_5yr","nTimesDecrFromZero_5yrs","nTimesIncrFromZero_5yrs","YearMeanGreaterThan5yrMean"
2016,4.88,"VZ","Verizon Communications Inc. (VZ)
NYSE - NYSE Delayed Price. Currency in USD","NYSE",52.7978111684321,51.4048015912698,"up",0,1,1,3,0
2016,4.88,"DLTR","Dollar Tree, Inc. (DLTR)
NasdaqGS - NasdaqGS Real Time Price. Currency in USD","Nasdaq",87.6758774193728,83.54301575,"up10",1,3,1,0,0
2016,4.88,"F","Ford Motor Company (F)
NYSE - NYSE Delayed Price. Currency in USD","NYSE",11.3671494708995,12.6310317460317,"down10",3,0,2,0,1
2016,4.88,"WMT","Walmart Inc. (WMT)
NYSE - NYSE Delayed Price. Currency in USD","NYSE",89.6644855794336,69.547063468254,"down",0,3,1,1,0
2017,4.34,"CVX","Chevron Corporation (CVX)
NYSE - NYSE Delayed Price. Currency in USD","NYSE",110.440072177818,111.45756974502,"up10",0,1,2,2,1
2017,4.34,"LUV","Southwest Airlines Co. (LUV)
NYSE - NYSE Delayed Price. Currency in USD","NYSE",50.5661435154014,56.7354979920319,"up10",0,1,2,2,1
2017,4.34,"DLTR","Dollar Tree, Inc. (DLTR)
NasdaqGS - NasdaqGS Real Time Price. Currency in USD","Nasdaq",87.6758774193728,82.038844498008,"down",1,3,1,0,0
2017,4.34,"WWE","World Wrestling Entertainment, Inc. (WWE)
NYSE - NYSE Delayed Price. Currency in USD","NYSE",42.5369822838593,22.4424700756972,"up10",1,4,0,0,0
2017,4.34,"JBLU","JetBlue Airways Corporation (JBLU)
NasdaqGS - NasdaqGS Real Time Price. Currency in USD","Nasdaq",19.6615883299158,20.9437052191235,"up",1,0,2,2,1
2017,4.34,"ADDYY","adidas AG (ADDYY)
Other OTC - Other OTC Delayed Price. Currency in USD","Other OTC",105.694756240604,100.01852587251,"up10",0,5,0,0,0
2017,4.34,"FTR","Frontier Communications Corporation (FTR)
NasdaqGS - NasdaqGS Real Time Price. Currency in USD","Nasdaq",31.3429243098953,22.9364939601594,"down10",5,0,0,0,0
2017,4.34,"PCG","PG&E Corporation (PCG)
NYSE - NYSE Delayed Price. Currency in USD","NYSE",40.9263597885073,63.91199212749,"up",3,1,0,1,1
2017,4.34,"HST","Host Hotels & Resorts, Inc. (HST)
NYSE - NYSE Delayed Price. Currency in USD","NYSE",18.2532595738633,18.603864498008,"up10",2,1,1,1,1
2017,4.34,"HD","The Home Depot, Inc. (HD)
NYSE - NYSE Delayed Price. Currency in USD","NYSE",170.802718858724,155.342749155378,"up10",0,3,0,2,0
2017,4.34,"EPD","Enterprise Products Partners L.P. (EPD)
NYSE - NYSE Delayed Price. Currency in USD","NYSE",27.7199511831326,26.6907569521912,"up",1,0,1,3,0
